ngo_description,category,urgency_level
"Urgent: mosquito-borne illness risk, medical support needed and it has been like this for days. danger attention is needed.",medical,Critical
Needs attention: mentally ill individuals left without care after disaster the whole neighborhood is complaining,medical,Medium
Dangerous situation: n0 s3arch and r3scu3 t3ams d3pl0y3d t0 Kurkh3da aft3r landsl1d3,disaster relief,Critical
Elderly man with no identification unable to access relief in Thane City pls fix,elderly support,Medium
Immediate action needed: exam postponement causing stress among students in Mangrulpir and it has been like this for days,education,High
"Critical alert: power lines down in Umarkhed after cyclone, 50 families affected, needs attention soon",disaster relief,Critical
"Critical alert: no handwashing stations at food distribution point, needs attention soon",hygiene,Critical
T01l3ts at Andh3r1 East camp n0t cl3an3d f0r 14 days,hygiene,High
Critical alert: stagnant water breeding mosquitoes in Daund lanes pls fix,hygiene,Critical
"Flood warning ignored in Malegaon, families now stranded is creating inconvenience",disaster relief,Medium
There is pls no tarpaulins provided to flood survivors,shelter,Low
"Immediate attention needed for dirty water, clean water distribution needed, people are affected",food,Critical
"CRITICAL: pls anganwadi worker missing after flood, pre-school closed in Beed City",education,Critical
Alert: flash flood in Chalisgaon caught residents off guard with no prior alert,disaster relief,High
CRITICAL: pls families in Kalyan sleeping in the open after losing homes,shelter,Critical
No special care provided to elderly at relief camp and it has been like this for days,elderly support,Low
Just informing huge damaged road blocking access to shelters,shelter,Low
Needs attention: no blankets or mats provided to flood survivors and it has been like this for days,shelter,Medium
Senior citizens unable to stand in relief line in Pune Camp,elderly support,High
Roof of shelter in Cidco collapsed after heavy rain,shelter,Medium
Old age pensioners in Purna not receiving their monthly allowance,elderly support,Medium
Sp3c1al n33ds ch1ldr3n w1th0ut 3ducat10nal supp0rt,education,Critical
Rescue boats not deployed in Amgaon despite rising water levels,disaster relief,Critical
Reporting that cracked walls in housing block posing danger to residents is creating inconvenience,shelter,Low
temporary shelter disrupting schooling for 10 kids,education,Critical
Bad smell is creating inconvenience,hygiene,Medium
Urgent: uncollected waste affecting families and it has been like this for days. hazard attention is needed.,hygiene,Critical
FYI: flood victims surviving on contaminated water with no food the whole neighborhood is complaining,food,Low
Requires immediate response: volunteer teachers needed urgently at relief camp school,education,Critical
Follow up needed on shelter camp flooded again after second wave of rain in Gadchiroli is creating inconvenience,shelter,Medium
Abandoned elderly person in Washim needs immediate care is creating inconvenience,elderly support,Low
Urgent: flooded road cutting off residential area the whole neighborhood is complaining. emergency attention is needed.,shelter,Critical
Relief camp in Nagpur West overcrowded with 10 families,shelter,Medium
Urgent: sewage leak affecting residential area which is causing a lot of trouble. hazard attention is needed.,hygiene,Critical
"Issu3 with muddy wat3r, n33ds att3ntion soon",food,Medium
Senior citizens in camp not receiving food or medicine,elderly support,Low
"High priority: pls no chalk, blackboard or stationery at makeshift school in Chamorshi camp",education,High
"Not urgent but dirty water, clean water distribution needed needs attention",food,Critical
Rental support not disbursed to 50 families in Sengaon the whole neighborhood is complaining,shelter,Medium
Please fix emergency helpline not working for residents of Purna,disaster relief,Medium
Urgent: porta-potties overflowing at disaster relief site in Chalisgaon,hygiene,High
Serious issue: skin disease spreading among relief camp residents,medical,High
Escalating: patients with chronic illness running out of medication,medical,High
Requires immediate response: bleaching powder not distributed to Solapur East for disinfection,hygiene,Critical
Please fix displaced families not allotted any relief camp in Arvi is creating inconvenience,shelter,Medium
Eye infection spreading rapidly in Wanowrie due to unhygienic water,medical,Critical
Just informing outbreak of fever cases reported in Hingoli with no medical team the whole neighborhood is complaining,medical,Low
Urgent: injured flood survivors not getting wound care,medical,High
"Urgent: mosquito-borne illness risk, medical support needed",medical,Critical
"Alert: homeless individuals with no access to relief shelters in Uran, needs attention soon",shelter,High
Alert: elderly residents unable to access food relief after disaster is creating inconvenience,food,High
HIV patients in Pusad unable to access antiretroviral drugs,medical,Medium
Please look into emergency food and water yet to reach 15 households in Waluj pls fix,disaster relief,Medium
"Issue with huge damaged road blocking access to shelters, needs attention soon",shelter,Medium
Elderly man with no identification unable to access relief in Karjat,elderly support,Critical
Serious issue: d1arrh3a 0utbr3ak 1n K0ndhwa aff3ct1ng 0v3r 50 fam1l13s,medical,High
Urgent: child vaccination drive cancelled due to floods,medical,High
There is garbage pile near community housing which is causing a lot of trouble. urgent attention is needed.,hygiene,Critical
Pls malnourished children spotted in Garkheda relief camp,food,Low
"Emergency: school uniform and shoes lost in flooding, children embarrassed to attend",education,Critical
"High priority: communication tower damaged in Andheri East, no mobile network for 1 days, needs attention soon",disaster relief,High
Urgent: sewage leak affecting residential area the whole neighborhood is complaining. hazard attention is needed.,hygiene,Critical
Need to address mentally ill individuals left without care after disaster the whole neighborhood is complaining,medical,Low
"Issu3 with bad sm3ll, n33ds att3ntion soon",hygiene,Medium
Volunteer teachers needed urgently at relief camp school,education,High
Escalating: emergency food and water yet to reach 200 households in Kurla is creating inconvenience,disaster relief,High
Pls dementia patient in Nanded City separated from family during evacuation,elderly support,Medium
Requires immediate response: children traumatized by flood need psychosocial support in Miraj pls fix,education,Critical
Urgent: stagnant water causing health hazard,medical,Critical
Starvation reported among homeless persons near Balapur,food,Low
Urgent: water water leak leaving families without supplyage causing serious safety risk in the area,food,Critical
Cyclone shelter in Jalgaon City not opened despite warning is creating inconvenience,disaster relief,Critical
"Food vouchers not accepted at local shops near Jogeshwari, needs attention soon",food,High
Group of elderly flood survivors need special care and support,elderly support,Critical
Immediate action needed: pregnant women not receiving nutritional support at relief camp,food,High
Elderly couple in Waluj surviving without any government aid is creating inconvenience,elderly support,Low
"Landslide destroyed 150 homes in Jogeshwari, urgent shelter needed is creating inconvenience",shelter,High
Emergency: elderly flood survivor found wandering alone near Pachora,elderly support,Critical
"G0v3rnm3nt r3l13f camp 1n Aurangabad C1ty shut pr3matur3ly, fam1l13s st1ll d1splac3d",disaster relief,Medium
Requires immediate response: b0ats and r3scu3 3qu1pm3nt n0t pr3p0s1t10n3d n3ar G0nd1a b3f0r3 cycl0n3,disaster relief,Critical
Requires immediate response: ration shop in Ausa not opening despite government orders,food,Critical
No water supply not urgent but should be fixed,food,Critical
Need to address hygiene awareness sessions cancelled in Dombivli without notice and it has been like this for days,hygiene,Low
Kindly address children in Mangalwedha unable to access online classes due to no electricity and it has been like this for days,education,Medium
Dangerous situation: m3ntal h3alth cr1s1s cas3s g01ng unaddr3ss3d 1n Sangl1 C1ty camp,medical,Critical
Pls senior citizens in camp not receiving food or medicine,elderly support,Critical
Abandoned elderly person in Osmanabad needs immediate care,elderly support,High
"Issue with muddy water, clean water needed urgently, needs attention soon pls fix",food,Medium
"Pls issue with unhygienic conditions causing illness risk, needs attention soon",hygiene,Medium
Old age home in Beed City damaged and residents displaced,elderly support,High
Immediate action needed: toilets at Hingoli camp not cleaned for 6 days,hygiene,High
Please fix elderly residents of Pandharpur left alone after family evacuation,elderly support,Medium
Please fix breastfeeding mothers in camp without nutritional supplements,food,Medium
"Issue with dirty water stagnation, needs attention soon",medical,Medium
Reporting that stagnant water causing health hazard which is causing a lot of trouble. emergency attention is needed.,medical,Critical
Families in Bhandup sleeping in the open after losing homes pls fix,shelter,High
No toilets available at relief camp for 10 families,hygiene,Critical
Follow up needed on dead animals decomposing near Nandurbar relief camp causing disease risk,hygiene,Medium
No water supply is creating inconvenience,food,Medium
Pls water leak leaving families without supplyage in pipe not urgent but should be fixed,food,Critical
Escalating: diarrhea outbreak in ulhasnagar affecting over 15 families,medical,High
No tarpaulins provided to flood survivors the whole neighborhood is complaining,shelter,Medium
Earthquake tremors felt in Basmath causing structural damage and it has been like this for days,disaster relief,High
Urgent: malnourished children spotted in Deoli relief camp and it has been like this for days,food,High
"For attention: no blankets or mats provided to flood survivors, needs attention soon",shelter,Low
Just informing no ambulance available in Pen for emergency cases,medical,Low
SOS: eye infection spreading rapidly in Gadchiroli due to unhygienic water,medical,Critical
Women and children unsafe in open camp at night in Roha,shelter,Critical
"High priority: hIV patients in Wani unable to access antiretroviral drugs, needs attention soon",medical,High
D1ff3r3ntly-abl3d stud3nt 1n Akkalkuwa unabl3 t0 acc3ss ramp 0r supp0rt,education,High
Immediate action needed: children not enrolled due to lack of documents in Walwa pls fix,education,High
Issue with construction debris blocking evacuation route in Wardha City,shelter,Medium
Pls girls pulled from school to help at home after disaster,education,Medium
Pls elderly flood survivor found wandering alone near Barshi,elderly support,Medium
Alert: food vouchers not accepted at local shops near Pusad pls fix,food,High
Dangerous situation: oxygen cylinder shortage reported at health post in Mangrulpir pls fix,medical,Critical
Please escalate: r3l13f camp 1n Malad has n0 bath1ng fac1l1t13s f0r 30 fam1l13s,hygiene,High
Construction of relief houses stalled in Sindkhede for 2 days pls fix,shelter,Critical
Children in Tirora relief camp have missed 5 days of school,education,Critical
Temporary shelter in Miraj dismantled before permanent housing arranged,shelter,Critical
Books and school materials lost to flooding in Mangrulpir,education,Medium
Need to address cracked infrastructure near housing colony the whole neighborhood is complaining. fire attention is needed.,shelter,Critical
"Critical alert: power lines down in Osmanabad after cyclone, 20 families affected",disaster relief,Critical
Just informing dirty wat3r stagnation,medical,Low
For attention: senior citizens unable to stand in relief line in Chikalthana,elderly support,Low
No sandbags provided to protect remaining structures in Khopoli,shelter,High
Senior citizens without medical support or companionship,elderly support,Low
Urgent: dementia patient in Khed separated from family during evacuation the whole neighborhood is complaining,elderly support,High
Rescue boats not deployed in Mangalwedha despite rising water levels,disaster relief,Medium
"Requires immediate response: disaster response team yet to reach Bhandup after 12 days, needs attention soon",disaster relief,Critical
"SOS: porta-potties overflowing at disaster relief site in Chiplun, needs attention soon",hygiene,Critical
Senior residents facing cold nights without blankets in Kalamnuri and it has been like this for days,elderly support,Low
Library books destroyed by flood in Kagal school,education,Critical
Please fix sk1n d1s3as3 spr3ad1ng am0ng r3l13f camp r3s1d3nts,medical,Medium
Just informin sparkin wires,disaster relief,Low
Just informing garbag3 piling up,hygiene,Low
"Please escalate: flood warning ignored in Chandrapur City, families now stranded pls fix",disaster relief,High
Just informing unhygi3nic ar3a,medical,Low
"Drainage pipes choked, causing waterlogging in Kamothe shelter zone",hygiene,Medium
Life threatening: children in Seloo unable to access online classes due to no electricity is creating inconvenience,education,Critical
"Follow up needed on drainage pipes choked, causing waterlogging in Kurla shelter zone pls fix",hygiene,Medium
Pls senior citizen with hearing impairment in Khamgaon getting no support is creating inconvenience,elderly support,Medium
"Critical complaint about stagnant water causing health hazard, needs quick action",medical,Critical
Relief workers in Nagbhid not provided with protective gear or support and it has been like this for days,disaster relief,Critical
Urgent: earthquake tremors felt in kandivali causing structural damage,disaster relief,High
Dangerous situation: no special care provided to elderly at relief camp,elderly support,Critical
Requires immediate response: mental health crisis cases going unaddressed in Kharghar camp,medical,Critical
Pls diarrhea outbreak in Aheri affecting over 100 families,medical,Medium
There is typhoid cases rising in Kharghar with no treatment available and it has been like this for days,medical,Low
Mental health crisis cases going unaddressed in Mul camp,medical,Critical
Escalating: pls skin disease spreading among relief camp residents,medical,High
Emergency: dry ration kits not delivered to 75 registered families pls fix,food,Critical
Pls eye infection spreading rapidly in Amravati City due to unhygienic water,medical,High
Contaminated water causing illness stagnation is creating inconvenience pls fix,medical,Medium
"Elderly flood survivor found wandering alone near Pen, needs attention soon",elderly support,High
Please escalate: volunteer teachers needed urgently at relief camp school and it has been like this for days,education,High
Skin disease spreading among relief camp residents,medical,High
"Needs attention: relief coordinator in Katol unreachable, no one managing distribution the whole neighborhood is complaining",disaster relief,Medium
Pls garbage piling up not urgent but should be fixed,hygiene,Critical
Pls no toilets available at relief camp for 20 families,hygiene,Critical
Follow up needed on children defecating in open near water source in Baramati,hygiene,Medium
"Issue reported: loose wires, moderate urgency",disaster relief,Medium
Pls just informing contaminated water causing illness stagnation,medical,Low
Outbreak of fever cases reported in Jalgaon Jamod with no medical team,medical,Critical
Alert: residents of Hingna living under flyover after home destroyed,shelter,High
Need to address no grief counselling for elderly who lost family members in Tasgaon,elderly support,Low
Disaster map not updated for Gadchiroli causing misdirected aid,disaster relief,High
Pls elderly man with no identification unable to access relief in Ozar,elderly support,Critical
"Immediate action needed: flood warning ignored in Malegaon, families now stranded and it has been like this for days",disaster relief,High
Rescue boats not deployed in Jalgaon City despite rising water levels,disaster relief,Critical
Urgent: elderly woman in Igatpuri not aware of any available relief schemes,elderly support,High
Pls emergency helpline not working for residents of Bhusawal,disaster relief,Critical
Life threatening: cyclone shelter in Karad not opened despite warning is creating inconvenience,disaster relief,Critical
No special care provided to elderly at relief camp and it has been like this for days,elderly support,Medium
Ongoing issue with downed power line endangering disaster survivors and it has been like this for days. fire attention is needed.,disaster relief,Critical
Typh01d cas3s r1s1ng 1n Buldhana w1th n0 tr3atm3nt ava1labl3,medical,Critical
Garbage pilin up not urgent but should be fixed,hygiene,Critical
"High priority: tent allocation not done fairly in Parbhani City camp, some families left out the whole neighborhood is complaining",shelter,High
Ongoing issue with pls senior citizens in Jintur not transported to hospital despite requests,elderly support,Low
Temporary shelters not waterproof causing distress in Pachora,shelter,High
Flood relief funds not disbursed to victims in Nashik Road,disaster relief,High
Serious issue: relief camp in aheri has no privacy partitions for families,shelter,High
There is water leak leaving families without supply,food,High
There is damaged road infrastructure near community the whole neighborhood is complaining. hazard attention is needed.,shelter,High
SOS: damaged bridge cutting off Vikhroli from emergency relief is creating inconvenience,shelter,Critical
"Government relief camp in Garkheda shut prematurely, families still displaced",disaster relief,Critical
Urgent: pls typhoid cases rising in Sangli City with no treatment available,medical,High
Pls dropout rate rising among migrant children in Bhusawal,education,Critical
Pls senior citizens unable to stand in relief line in Shriwardhan is creating inconvenience,elderly support,Medium
"Pls anganwadi centre in Khanapur closed, children going without meals",food,Low
Pregnant women not receiving nutritional support at relief camp,food,Low
Bleaching powder not distributed to Ozar for disinfection,hygiene,Low
Life threatening: elderly woman in Parli not aware of any available relief schemes,elderly support,Critical
Needs attention: books and school materials lost to flooding in Panvel,education,Medium
Urgent: downed power line endangering disaster survivors,disaster relief,Critical
Kindly address no food packets distributed to Kandhar flood survivors,food,Medium
Requires immediate response: b00ks and sch00l mat3r1als l0st t0 fl00d1ng 1n J0g3shwar1,education,Critical
SOS: sewage overflow contaminating water supply in Purna,hygiene,Critical
Cholera symptoms reported in 150 residents of Chamorshi camp pls fix,medical,Medium
infant formula shortage reported at relief centre,food,Critical
Life threatening: families in Jogeshwari sleeping in the open after losing homes,shelter,Critical
There is sewage leak affecting residential area the whole neighborhood is complaining. urgent attention is needed.,hygiene,Critical
Critical alert: sanitation volunteers refused entry to Chalisgaon without reason,hygiene,Critical
Follow up needed on no sandbags provided to protect remaining structures in Aheri is creating inconvenience,shelter,Medium
Pls construction debris blocking evacuation route in Nagothane pls fix,shelter,Medium
Old woman in Akola City collapsed due to lack of food and support,elderly support,Medium
Need to address overflowing waste near shelter camp which is causing a lot of trouble. fire attention is needed.,hygiene,Critical
"Issue with no water supply, needs attention soon",food,Medium
Ongoing issue with inadequate lighting in emergency relief camp the whole neighborhood is complaining. life-threatening attention is needed.,disaster relief,Critical
Urgent: streetlight not working causing serious safety risk in the area,disaster relief,Critical
Life threatening: dropout rate rising among migrant children in Kalamb,education,Critical
Just informing no water supply,food,Low
Dangerous situation: bleaching powder not distributed to Hingoli for disinfection,hygiene,Critical
Hygiene awareness sessions cancelled in Taloda without notice,hygiene,Low
Reporting that damaged road blocking access to shelter and it has been like this for days. immediate attention is needed.,shelter,Critical
"Mentally ill individuals left without care after disaster, needs attention soon",medical,Critical
Alert: pls senior citizens in Kamptee not transported to hospital despite requests,elderly support,High
"Immediate attention needed for power outage, people are affected",disaster relief,Critical
Reporting that sparking wire posing fire risk to shelter,disaster relief,Low
Urgent: no toilets available at relief camp for 20 families the whole neighborhood is complaining,hygiene,High
"Requires immediate response: typhoid cases rising in Ausa with no treatment available, needs attention soon",medical,Critical
Serious issue: food distribution camp in Andheri East has run out of supplies,food,High
Alert: roof of shelter in Akola City collapsed after heavy rain,shelter,High
High priority: volunteer teachers needed urgently at relief camp school,education,High
Children in Wanowrie unable to access online classes due to no electricity,education,Low
Requires immediate response: group of 25 elderly survivors in Deoli need urgent shelter pls fix,elderly support,Critical
Elderly man with no identification unable to access relief in Jintur,elderly support,Medium
Serious issue: breastfeeding mothers in camp without nutritional supplements,food,High
"Issue with huge damaged road blocking access to shelters, needs attention soon",shelter,Medium
Not urgent but unclean streets needs attention,hygiene,Critical
Pls exam postponement causing stress among students in Chiplun is creating inconvenience,education,Medium
Group home for elderly in Akot has no generator or backup power and it has been like this for days,elderly support,High
Dangerous situation: no mid-day meals distributed at school for 8 days and it has been like this for days,food,Critical
Follow up needed on rat infestation in Hadapsar due to uncleared garbage,hygiene,Medium
Critical alert: gr0up h0m3 f0r 3ld3rly 1n Udg1r has n0 g3n3rat0r 0r backup p0w3r,elderly support,Critical
N0 t01l3ts ava1labl3 at r3l13f camp f0r 20 fam1l13s,hygiene,High
"FYI: g0v3rnm3nt r3l13f camp 1n Waluj shut pr3matur3ly, fam1l13s st1ll d1splac3d",disaster relief,Low
Just informing shelter camp flooded again after second wave of rain in Solapur East,shelter,Low
"Reporting that no lighting in residential area, safety risk which is causing a lot of trouble. leak attention is needed.",shelter,High
Need to address inadequate lighting in emergency relief camp which is causing a lot of trouble. leak attention is needed.,disaster relief,High
Needs attention: pls eye infection spreading rapidly in Dharur due to unhygienic water,medical,Medium
Pls children defecating in open near water source in goregaon,hygiene,Medium
Helpline operators in Mankhurd not responding despite multiple calls and it has been like this for days,disaster relief,Low
"High priority: teachers unreachable after cyclone in Tirora, needs attention soon",education,High
Children not enrolled due to lack of documents in Ausa,education,High
Just informing relief workers in Badnera not provided with protective gear or support,disaster relief,Low
Oxygen cylinder shortage reported at health post in Khopoli,medical,Critical
Library books destroyed by flood in Ozar school,education,Critical
"Issu3 with ov3rflowing dustbin, n33ds att3ntion soon",hygiene,Medium
"Pls issue with unsafe path to shelter, needs repair, needs attention soon",shelter,Medium
Porta-potties overflowing at disaster relief site in Kandivali pls fix,hygiene,Low
Just informing mosquito probl3m,medical,Low
Pls eye infection spreading rapidly in Beed City due to unhygienic water,medical,Medium
Small inconvenience due to damaged road blocking access to shelters,shelter,Low
Typhoid cases rising in Seloo with no treatment available,medical,Low
"Tent allocation not done fairly in Akkalkot camp, some families left out and it has been like this for days",shelter,High
Dangerous situation: no physiotherapy or rehabilitation support for elderly in Arvi camp,elderly support,Critical
Please escalate: dementia patient in Jat separated from family during evacuation,elderly support,High
For attention: medical camp in Morshi closed for 8 days with no alternative,medical,Low
Garbage pilin up is creatin inconvenience,hygiene,Medium
Pls homeless individuals with no access to relief shelters in Walwa,shelter,Critical
Kindly address cyclone shelter in kalyan not opened despite warning,disaster relief,Medium
Dangerous situation: pls wheelchair-bound senior unable to access relief services in Seloo,elderly support,Critical
Str33t light not working not urg3nt but should b3 fix3d,disaster relief,Low
Special needs children without educational support,education,Medium
Urgent: senior citizens in Mangrulpir not transported to hospital despite requests,elderly support,High
Dead animals decomposing near Hatkanangale relief camp causing disease risk,hygiene,Low
Life threatening: n0 c00k1ng fu3l ava1labl3 f0r fam1l13s at Dharav1 sh3lt3r,food,Critical
Issue with senior citizens unable to stand in relief line in Morshi,elderly support,Medium
Alert: n0 handwash1ng stat10ns at f00d d1str1but10n p01nt,hygiene,High
Fire broke out in Butibori and fire brigade took too long to arrive,disaster relief,Low
Malnourished children spotted in Shirpur relief camp,food,High
Emergency: temporary shelters not waterproof causing distress in Uran,shelter,Critical
Dementia patient in Udgir separated from family during evacuation is creating inconvenience,elderly support,Medium
Life threatening: nDRF team not reachable for flood-hit locality in Jat,disaster relief,Critical
CRITICAL: no doctor visiting rural health camp for 9 days,medical,Critical
SOS: pls senior citizens in Kolhapur City not transported to hospital despite requests,elderly support,Critical
Need to address girls pulled from school to help at home after disaster is creating inconvenience,education,Low
Flash flood in Taloda caught residents off guard with no prior alert,disaster relief,Critical
"Please look into anganwadi centre in Pen closed, children going without meals is creating inconvenience",food,Medium
Sewage overflow contaminating water supply in Satara City and it has been like this for days,hygiene,Critical
FYI: construction debris blocking evacuation route in Nilanga,shelter,Low
No special care provided to elderly at relief camp,elderly support,Critical
No insulin available for diabetic patients in Bhusawal shelter,medical,Critical
Power restoration delayed beyond 5 days in Murud pls fix,disaster relief,Critical
CRITICAL: blood bank in Khopoli running critically low on supplies is creating inconvenience,medical,Critical
diarrhea outbreak in morshi affecting over 100 families,medical,High
Just informing huge damaged road blocking access to shelters pls fix,shelter,Low
Community kitchen shut down due to lack of funds,food,Critical
Critical alert: relief trucks not reaching Pandharpur due to damaged roads,food,Critical
"coaching centre in ballarpur closed, students without support",education,Critical
no temporary learning centres set up after disaster,education,Medium
"Emergency: pls coaching centre in Ambernath closed, students without support",education,Critical
Urgent: flash flood in Wani caught residents off guard with no prior alert is creating inconvenience,disaster relief,High
Reporting that sparking wire posing fire risk to shelter the whole neighborhood is complaining. urgent attention is needed.,disaster relief,Critical
Mid-day meal stopped at school affecting attendance in Paranda,education,Low
"Issue reported: unhygienic conditions causing illness risk, moderate urgency",hygiene,Medium
High priority: flood-affected families surviving only on biscuits for 5 days,food,High
There is cracked infrastructure near housing colony which is causing a lot of trouble. danger attention is needed.,shelter,High
Follow up needed on elderly couple in Kamothe surviving without any government aid,elderly support,Medium
Children in affected area lack access to schooling and learning materials,education,Medium
"Urgent: animal bite cases, medical attention needed the whole neighborhood is complaining. hazard attention is needed.",medical,Critical
Please look into elderly man with no identification unable to access relief in Nashik Road,elderly support,Medium
"There is an issue with unclean streets, needs to be fixed soon",hygiene,Medium
Dementia patient in Kurla separated from family during evacuation,elderly support,Medium
Dry ration kits not delivered to 100 registered families pls fix,food,Medium
Needs attention: drought-affected farmers need emergency food aid,food,Medium
N0 baby f00d ava1labl3 at W0rl1 r3l13f d1str1but10n p01nt,food,Critical
"Need to address no lighting in residential area, safety risk which is causing a lot of trouble. immediate attention is needed.",shelter,Critical
High priority: no tarpaulins provided to flood survivors,shelter,High
Infant formula shortage reported at relief centre the whole neighborhood is complaining,food,Medium
Pls eye infection spreading rapidly in Kalamb due to unhygienic water,medical,High
Pls diabetic patients not receiving appropriate diet support the whole neighborhood is complaining,food,Medium
Please escalate: bleaching powder not distributed to sindkhede for disinfection,hygiene,High
"No chalk, blackboard or stationery at makeshift school in Bhusawal camp",education,High
Dangerous situation: relief camp in Vita overcrowded with 100 families,shelter,Critical
Please fix no cooking fuel available for families at Aurangabad City shelter,food,Medium
No ambulance available in Vasai for emergency cases,medical,Critical
Overflowing dustbin not urgent but should be fixed,hygiene,Critical
N0 phys10th3rapy 0r r3hab1l1tat10n supp0rt f0r 3ld3rly 1n Pandharpur camp,elderly support,High
Injured flood survivors not getting wound care,medical,Low
High priority: senior citizen with hearing impairment in Dhule City getting no support,elderly support,High
Pls children in Amravati City relief camp have missed 11 days of school,education,Critical
Power restoration delayed beyond 5 days in Ichalkaranji,disaster relief,Medium
"Government school in Jogeshwari being used as shelter, no classes held the whole neighborhood is complaining",education,High
Huge damaged road blocking access to shelters not urgent but should be fixed pls fix,shelter,Critical
No school bus route restored after disaster in Pachora,education,High
"Complaint regarding no water supply, causing inconvenience",food,Medium
Water leak leaving families without supplyage in pipe not urgent but should be fixed,food,Critical
Girls pulled from school to help at home after disaster the whole neighborhood is complaining,education,High
Relief trucks not reaching Malkapur due to damaged roads pls fix,food,High
Fire broke out in temporary camp destroying belongings in Baramati the whole neighborhood is complaining,shelter,Medium
Please fix damaged bridge cutting off Kagal from emergency relief,shelter,Medium
"Need to address anganwadi centre in Shirur closed, children going without meals is creating inconvenience",food,Low
Mental health crisis cases going unaddressed in Kurkheda camp,medical,Critical
"Just informing muddy water, clean water needed urgently pls fix",food,Low
Escalating: dry ration kits not delivered to 75 registered families and it has been like this for days,food,High
Mosquito probl3m not urg3nt but should b3 fix3d,medical,Low
Life threatening: patients with chronic illness running out of medication pls fix,medical,Critical
"Ongoing issue with school building in Nalasopara damaged by flood, students displaced the whole neighborhood is complaining",education,Low
Not urgent but loose wires needs attention,disaster relief,Critical
Stagnant water breeding mosquitoes in Alibaug lanes the whole neighborhood is complaining,hygiene,Critical
Pls children in Igatpuri unable to access online classes due to no electricity,education,Critical
Just informing elderly man with no identification unable to access relief in Ballarpur the whole neighborhood is complaining,elderly support,Low
"There is an issue with power outage, needs to be fixed soon",disaster relief,Medium
Pls eye infection spreading rapidly in Ozar due to unhygienic water,medical,High
